Specimen properties : Length,"100.00000",mm
Specimen properties : Thickness,"1.00000",mm
Specimen properties : Width,"10.00000",mm
Test : Rate 1,"5.00000",mm/min

Time,Extension,Load
(s),(mm),(N)
"34.55000","2.87932","14961.27441"
"34.60000","2.88354","14987.16602"
"34.65000","2.88766","15013.34863"
"34.70000","2.89178","15041.11328"
"34.75000","2.89600","15068.04492"
"34.80000","2.90013","15091.43262"
"34.85000","2.90425","15114.68750"
"34.90000","2.90846","15140.07324"
"34.95000","2.91259","15164.78223"
"35.00000","2.91671","15188.41504"
"35.05000","2.92093","15213.35840"
"35.10000","2.92514","15239.68164"
"35.15000","2.92927","15265.22656"
"35.20000","2.93339","15289.02832"
"35.25000","2.93770","15311.93750"
"35.30000","2.94182","15333.26465"
"35.35000","2.94595","15356.39746"
"35.40000","2.95016","15380.03516"
"35.45000","2.95429","15402.58496"
"35.50000","2.95841","15423.74805"
"35.55000","2.96263","15446.12305"
"35.60000","2.96684","15468.22168"
"35.65000","2.97097","15489.08984"
"35.70000","2.97509","15509.22559"
"35.75000","2.97931","15529.36426"
"35.80000","2.98343","15549.95898"
"35.85000","2.98765","15569.95215"
"35.90000","2.99177","15589.13477"
"35.95000","2.99589","15607.55566"
"36.00000","3.00011","15627.33496"
"36.05000","3.00423","15646.86133"
"36.10000","3.00845","15664.02344"
"36.15000","3.01267","15681.16797"
"36.20000","3.01679","15697.87109"
"36.25000","3.02101","15714.68262"
"36.30000","3.02513","15730.10352"
"36.35000","3.02925","15744.73047"
"36.40000","3.03347","15761.18652"
"36.45000","3.03769","15776.09766"
"36.50000","3.04181","15789.33301"
"36.55000","3.04593","15803.17773"
"36.60000","3.05015","15816.65137"
"36.65000","3.05437","15830.04102"
"36.70000","3.05849","15842.60742"
"36.75000","3.06271","15854.04297"
"36.80000","3.06692","15865.11133"
"36.85000","3.07105","15877.09473"
"36.90000","3.07517","15888.26367"
"36.95000","3.07939","15898.14160"
"37.00000","3.08351","15907.88184"
"37.05000","3.08773","15919.07617"
"37.10000","3.09185","15929.22461"
"37.15000","3.09607","15938.33594"
"37.20000","3.10019","15946.72461"
"37.25000","3.10431","15956.70703"
"37.30000","3.10843","15966.58789"
"37.35000","3.11265","15975.47559"
"37.40000","3.11677","15986.84082"
"37.45000","3.12099","15996.41406"
"37.50000","3.12511","16003.95605"
"37.55000","3.12924","16012.53613"
"37.60000","3.13355","16021.73926"
"37.65000","3.13767","16030.76758"
"37.70000","3.14179","16039.91406"
