Specimen properties : Length,100,mm
Specimen properties : Thickness,1,mm
Specimen properties : Width,10,mm
Test : Rate 1,5,mm/min
,,
Time,Extension,Load
(s),(mm),(N)
37.2,3.10019,26011.45898
37.25,3.10431,26018.50977
37.3,3.10853,26025.63867
37.35,3.11265,26032.49609
37.4,3.11677,26040.98242
37.45,3.12099,26049.04688
37.5,3.12511,26056.54688
37.55,3.12914,26064.14844
37.6,3.13336,26072.85742
37.65,3.13748,26080.76562
37.7,3.1417,26089.0625
37.75,3.14582,26096.51367
37.8,3.15004,26104.64062
37.85,3.15426,26112.98828
37.9,3.15838,26120.47852
37.95,3.1626,26127.22852
38,3.16681,26133.40234
38.05,3.17094,26140.53125
38.1,3.17506,26150.61328
38.15,3.17928,26157.52148
38.2,3.18349,26164.82031
38.25,3.18762,26172.36328
38.3,3.19183,26179.12305
38.35,3.19605,26186.59961
38.4,3.20017,26193.80859
38.45,3.20439,26200.41602
38.5,3.20851,26206.32031
38.55,3.21264,26211.36914
38.6,3.21676,26218.53125
38.65,3.22098,26225.4082
38.7,3.2251,26232.03125
38.75,3.22922,26238.87695
38.8,3.23344,26246.13086
38.85,3.23756,26253.68164
38.9,3.24178,26259.80664
38.95,3.2459,26266.41602
39,3.25012,26271.99023
39.05,3.25424,26276.97852
39.1,3.25836,26284.81055
39.15,3.26258,26292.63477
39.2,3.2668,26297.75195
39.25,3.27092,26302.29297
39.3,3.27514,26308.73242
39.35,3.27926,26315.29297
39.4,3.28338,26322.27148
39.45,3.2876,26329.89258
39.5,3.29172,26336.37695
39.55,3.29594,26341.71875
39.6,3.30006,26348.10547
39.65,3.30428,26355.7168
39.7,3.3084,26360.95508
39.75,3.31253,26367.63477
39.8,3.31674,26374.33398
39.85,3.32096,26380.1875
39.9,3.32508,26385.71484
39.95,3.3293,26391.52344
40,3.33352,26396.85547
40.05,3.33764,26402.51758
40.1,3.34176,26408.98438
40.15,3.34607,26416.15234
40.2,3.3502,26421.12305
40.25,3.35432,26427.26953
40.3,3.35854,26433.66797
40.35,3.36266,26438.74219
40.4,3.36678,26445.31445
40.45,3.371,26452.01172
40.5,3.37512,26458.69922
40.55,3.37934,26464.80273
40.6,3.38346,26469.06055
40.65,3.38759,26473.89453
40.7,3.3918,26478.60938
40.75,3.39593,26484.03125
40.8,3.40005,26489.32617
40.85,3.40427,26495.92969
40.9,3.40839,26500.44922
40.95,3.41251,26505.46094
41,3.41673,26511.50781
41.05,3.42095,26515.41797
41.1,3.42507,26521.80859
41.15,3.42929,26528.62891
41.2,3.43341,26533.70117
41.25,3.43753,26537.32031
41.3,3.44175,26543.45117
41.35,3.44597,26548.08984
41.4,3.45009,26553.52344
41.45,3.45421,26559.63867
41.5,3.45843,26566.24609
41.55,3.46265,26572.25977
41.6,3.46677,26577.72852
41.65,3.47089,26583.94531
41.7,3.47511,26588.52344
41.75,3.47923,26593.0293
41.8,3.48335,26599.62695
41.85,3.48757,26604.81641
41.9,3.49179,26608.82812
41.95,3.49591,26615.06836
42,3.50013,26619.19922
42.05,3.50425,26624.3457
42.1,3.50847,26631.54688
42.15,3.51259,26637.89062
42.2,3.51681,26642.50977
42.25,3.52093,26646.36133
42.3,3.52515,26651.9668
42.35,3.52936,26656.75781
42.4,3.53349,26661.33594
42.45,3.53761,26666.66797
42.5,3.54183,26672.02148
42.55,3.54595,26676.4668
42.6,3.55007,26680.39258
42.65,3.55429,26685.60156
42.7,3.55851,26690.12891
42.75,3.56263,26694.41992
42.8,3.56675,26699.57812
42.85,3.57097,26705.39844
42.9,3.57509,26709.19922
42.95,3.57922,26714.21484
